OBJECTID,COUNTY_NAM,COUNTY_ABB,COUNTY_NUM,COUNTY_COD,COUNTY_FIP,ISLAND,GlobalID,SHAPE_Leng,SHAPE_Area,HISTO_0,HISTO_11,HISTO_12,HISTO_21,HISTO_22,HISTO_23,HISTO_24,HISTO_31,HISTO_41,HISTO_42,HISTO_43,HISTO_52,HISTO_71,HISTO_81,HISTO_82,HISTO_90,HISTO_95
"1",Alameda,ALA,"1","01","001",,{E6F92268-D2DD-4CFB-8B79-5B4B2F07C559},"308998.650975308555644","-3402787058.985433101654053","0","309295","0","106121","126817","341972","149150","9640","618","35401","333310","325024","548840","2642","27356","2666","47214"
"2",Alpine,ALP,"2","02","003",,{870479B2-480A-494B-8352-AD60578839C1},"274888.492662009841297","-3146939367.219056606292725","419","13925","13","9520","4605","1208","141","7865","3176","842081","1005","1101823","110262","2316","0","13613","20597"
"3",Amador,AMA,"3","03","005",,{4F45B3A6-BE10-461C-8945-6B2AAA7119F6},"361708.438649391813669","-2562634785.257225990295410","0","29511","0","51601","18817","7804","2691","3348","36938","679037","36720","505056","346924","7480","15450","1038","1478"
"4",Butte,BUT,"4","04","007",,{44FBA680-AECC-4E04-A499-29D69AFFBD4A},"526547.113133815582842","-7339347536.664345741271973","0","100288","0","139243","80283","65125","19300","7155","56452","1498845","19487","498427","1001077","4173","1252495","27718","55844"
"5",Calaveras,CAL,"5","05","009",,{D11EF739-4A1E-414E-BFD1-E7DCD56CD61E},"370637.579038918658625","-4351069341.780326843261719","0","61727","0","82503","24751","7646","1891","2057","102346","1094825","111511","897161","585283","230","4564","2803","1189"
"6",Colusa,COL,"6","06","011",,{7BB40E7D-335A-4E8F-AABA-F003090D32EF},"386191.550022143812384","-4992906480.219293594360352","0","21001","0","65995","31333","16833","3733","6508","493","26521","4731","754849","768687","3856","1538308","11381","74924"
"7",Contra Costa,CON,"7","07","013",,{36D6618E-1D85-423D-81C5-D5FADE320099},"321717.245773900067434","-3348831376.959217548370361","0","243696","0","187127","212670","276672","75540","1937","261","28755","283662","256478","457411","11986","226692","4469","44164"
"8",Del Norte,DEL,"8","08","015",,{1C9D9309-A72C-464F-9981-FE8358F354AC},"391350.003689642413519","-4723608395.313826560974121","1081","22235","0","128278","22638","12655","4014","12173","40212","1858155","273724","342516","123736","39196","96","9092","29790"
"9",El Dorado,ELD,"9","09","017",,{8C7709F7-3E81-4245-85D6-3FBC6EBD7261},"472602.584878194495104","-7635354515.453022956848145","52","226833","58","190553","76355","28452","7602","55734","47194","3034260","107251","1096163","256266","49","151","9876","11364"
"10",Fresno,FRE,"10","10","019",,{F57A290A-F11E-4B3B-A53B-E8E4C2284BBB},"1110071.014964470639825","-24298410986.512149810791016","0","156760","26925","310101","273132","329469","113872","565149","10583","3253992","117077","3025206","3115498","55238","5855171","23373","63544"
"11",Glenn,GLE,"11","11","021",,{BAC1DCFD-A28A-4C21-936F-B8E299026A9F},"396198.699450334941503","-5795190689.542876243591309","0","26358","0","95516","40274","20994","6378","20911","17904","442009","45731","735946","1015732","27559","1248737","17491","56575"
"12",Humboldt,HUM,"12","12","023",,{7E8E7246-D282-4143-A943-105360EE37E6},"678269.543835838674568","-16284538690.179244995117188","0","134655","0","474840","82268","54722","11130","58215","268617","6679004","682766","997098","659916","171014","246","22581","91489"
"13",Imperial,IMP,"13","13","025",,{6B5A7EA7-CC2C-4E04-95AD-F953CF1B2E24},"593476.826172108063474","-16564231846.237859725952148","1778","815033","0","144406","167779","84234","18436","4298892","79","124","59","4390697","596391","145322","2097835","82281","54672"
"14",Inyo,INY,"14","14","027",,{24BDC0FF-4379-4055-A132-96A222AFA5F5},"1069449.394283668603748","-41096174750.630233764648438","5402","62288","15567","69286","58301","33090","6379","4243397","4557","930648","4922","22711127","962678","76757","8746","96723","146905"
"15",Kern,KER,"15","15","029",,{55F8678B-D6C9-40C4-B9A0-C3E73D2714A5},"862005.052143033593893","-31846476133.416973114013672","0","76810","0","850665","290565","319654","90994","495539","84219","1069942","83288","9351874","5775011","51451","4847355","20878","82902"
"16",Kings,KIN,"16","16","031",,{414E145A-60F8-4996-B804-CB42B7878E02},"354382.253353122679982","-5529919182.660277366638184","0","43264","0","89503","67144","79316","25372","13910","6","208","425","31496","696526","15051","2936206","293","6775"
"17",Lake,LAK,"17","17","033",,{3490FE5A-A9E4-4997-B746-25ABEE1B9E23},"469746.867947001301218","-5725314906.557421684265137","0","208402","0","187477","36426","16350","3814","3213","16244","439281","137422","939772","1769574","13844","30846","10210","12932"
"18",Lassen,LAS,"18","18","035",,{0CB818C3-7995-42E7-9E8D-7563B81B9049},"777067.437052651192062","-21279656634.146228790283203","494","218781","0","97650","42432","14873","4045","136523","5432","3814306","23010","6406603","1963505","224325","206048","192324","235644"
"19",Los Angeles,LOS,"19","19","037",,{3B1E1D69-2B1A-464D-BA43-611C4201B219},"629726.475212492630817","-15054690022.551877975463867","0","48159","0","653873","832538","1664946","738014","116609","210","434640","165140","5611101","820034","180486","47530","28223","28959"
"20",Madera,MAD,"20","20","039",,{EF66DAF7-56C7-4AFD-8C10-3C6B8DE83C53},"603305.220864442409948","-8807559946.645221710205078","0","42718","6223","151478","54136","33031","10509","98783","51204","1777323","12347","1048400","1193368","11689","1684889","7846","10598"
"21",Marin,MRN,"21","21","041",,{F2604FED-7C76-4BCB-A5E0-667D6D3405B5},"324786.530032900336664","-2546999709.772047519683838","0","255470","0","80551","65288","57407","13725","1291","29366","313437","134106","496237","224553","2480","15281","10486","51705"
"22",Mariposa,MRP,"22","22","043",,{6A384488-EABD-48A2-AF47-455CE7443482},"436426.864190336142201","-6039261660.013128280639648","0","29341","138","58683","8430","2914","821","21715","65540","1537686","47653","977338","1448487","0","651","3674","3896"
"23",Mendocino,MEN,"23","23","045",,{E219006D-76D0-447D-B222-AC10417BCEF0},"852837.419715364347212","-15273081234.324344635009766","0","24252","0","451018","48538","26274","8000","10630","98725","5619153","649448","2380449","608180","98285","21104","46861","16709"
"24",Merced,MER,"24","24","047",,{F3D6231C-C7FA-4340-B03F-23C1D0572979},"432954.411911187926307","-8085829167.613932609558105","0","94931","0","150751","94406","80561","21612","22582","220","2053","73324","128939","1888047","75583","2557764","11084","489059"
"25",Modoc,MOD,"25","25","049",,{86F15375-C4E1-4A0E-A363-9099286C17AF},"566315.312655798974447","-19475267337.440425872802734","1139","442535","0","86179","23741","6732","986","247335","3052","2923865","3905","5413666","1857856","283882","368865","55318","375263"
"26",Mono,MNO,"26","26","051",,{A75107FC-5938-47E4-9A76-64EC7B4D2E75},"700809.628259553690441","-13058711009.414621353149414","1634","263547","7383","33330","28286","15905","4180","461225","24334","1621454","9536","5820355","474959","54208","15615","65306","108442"
"27",Monterey,MNT,"27","27","053",,{541F764A-86F8-4722-BCB2-0BE3AD073830},"859588.463904142961837","-13211999210.221948623657227","0","30369","0","227264","116394","104386","28445","21005","203","1059674","567250","3394451","2796856","61664","997254","69376","60726"
"28",Napa,NAP,"28","28","055",,{630FF402-4AFD-4950-93B9-773E16DAB8DC},"356598.937629793887027","-3348148992.138330459594727","0","124872","0","56434","45214","44440","13641","1125","27394","347998","160779","791881","460179","6464","156180","4772","33219"
"29",Nevada,NEV,"29","29","057",,{C6F8F1E5-DD2A-401B-A346-279EBD78F2A3},"433438.826537274755538","-4221812117.384504318237305","1686","41363","0","122344","39977","15867","5632","762","59329","1802513","62306","545905","98580","23","0","3879","4967"
"30",Orange,ORA,"30","30","059",,{E9A24C4D-A4EC-40B5-B689-89DE5354A669},"261212.101412369811442","-2998358175.166967391967773","0","16898","0","140795","276280","704110","260239","4295","51","17588","17937","689599","129380","9214","5417","11483","16467"
"31",Placer,PLA,"31","31","061",,{DAC91615-4D80-4240-8FC8-E400600989A5},"535807.043411979801022","-6452911147.285641670227051","624","264011","0","183653","90379","114217","36429","4619","50347","2074236","94208","803678","350416","20694","212513","9806","6606"
"32",Plumas,PLU,"32","32","063",,{9231C166-D020-4AAE-9E73-98D92A9E59AD},"658542.920766786206514","-11550726299.282928466796875","0","169647","0","83202","23378","9880","3191","487","2242","4932929","10158","1889105","153763","28299","45423","34352","135336"
"33",Riverside,RIV,"33","33","065",,{5A8DE123-B918-4725-9868-268A4BBCC4E7},"911236.051722488831729","-27420659761.342803955078125","697","268032","0","626664","565878","724367","159485","1393338","549","342599","79976","13651133","2045256","87105","954834","37428","74486"
"34",Sacramento,SAC,"34","34","067",,{E6CD0AE9-D1B2-490A-964B-9D96E0B129B9},"406962.538820025278255","-4203504879.820777893066406","0","84801","0","194886","221699","379664","127794","17473","2217","987","151","76418","774450","73973","834266","20186","51160"
"35",San Benito,SBT,"35","35","069",,{07204E6D-429B-44DB-A05C-E57AE4C99A86},"457471.885197570722084","-5596300723.993023872375488","0","5378","0","36384","22581","21549","7762","2951","14","168787","322787","1382010","1793098","19639","184155","12795","19393"
"36",San Bernardino,SBD,"36","36","071",,{E4DF6870-0D0B-40C1-AD3B-A60A72792CFD},"1247676.289793126983568","-77496812444.977050781250000","3672","82494","0","907852","629875","616015","146425","6541644","849","707692","66025","45520694","2465961","48405","44140","50451","28662"
"37",San Diego,SDG,"37","37","073",,{414826EC-689E-4084-BD03-5195DF2748BF},"564113.667128319153562","-15735991010.519128799438477","815","102106","0","722889","521626","777164","255516","1462106","978","243964","177517","6731592","978450","45513","60322","79194","94813"
"38",San Francisco,SFO,"38","38","075",,{3FB3980B-94DB-4765-B3E8-266DD778BFDD},"111442.383019178378163","-438635889.416212499141693","0","168921","0","9675","10210","44658","61470","771","6","3274","983","1278","2149","11","170","216","136"
"39",San Joaquin,SJQ,"39","39","077",,{618DF2F4-48AF-45F8-B25A-8069E3948302},"416061.272930545557756","-5946806922.053164482116699","0","90533","0","117234","139831","233843","103930","5601","0","109","23607","82148","628163","39126","2601981","18366","19078"
"40",San Luis Obispo,SLO,"40","40","079",,{9EE2E9C5-6CB8-4AA9-8591-276DB26F7B52},"787688.504260887391865","-12974195493.041072845458984","0","41269","0","394531","108012","77634","12733","46229","60","503162","691293","2694130","4369540","42067","474591","34604","70129"
